Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,83,-0.3833,10.741,0.0891,9.040282,9.313642,9.605253,10.12141,10.741,11.41431,12.07127,12.48967,12.91832
2,83.5,-0.3833,10.8578,0.08906,9.139273,9.415507,9.71018,10.23174,10.8578,11.53812,12.20189,12.62461,13.05767
2,84,-0.3833,10.9767,0.08903,9.239873,9.519058,9.816874,10.34399,10.9767,11.66423,12.33501,12.76219,13.19981
2,84.5,-0.3833,11.0974,0.089,9.341999,9.624179,9.925186,10.45794,11.0974,11.79224,12.47014,12.90185,13.3441
2,85,-0.3833,11.2198,0.08898,9.445392,9.730633,10.0349,10.57343,11.2198,11.92214,12.60735,13.04369,13.4907
2,85.5,-0.3833,11.3435,0.08897,9.549707,9.838068,10.14566,10.69007,11.3435,12.0535,12.74617,13.18727,13.63914
2,86,-0.3833,11.4684,0.08895,9.655218,9.946702,10.25763,10.80792,11.4684,12.18605,12.88617,13.33201,13.78873
2,86.5,-0.3833,11.594,0.08895,9.76096,10.05564,10.36997,10.92628,11.594,12.31951,13.0273,13.47802,13.93974
2,87,-0.3833,11.7201,0.08895,9.867124,10.16501,10.48275,11.04512,11.7201,12.4535,13.16899,13.62461,14.09135
2,87.5,-0.3833,11.8461,0.08895,9.973203,10.27429,10.59545,11.16387,11.8461,12.58739,13.31057,13.77109,14.24285
2,88,-0.3833,11.972,0.08896,10.07901,10.38332,10.70793,11.28244,11.972,12.72125,13.45221,13.91769,14.39453
2,88.5,-0.3833,12.0976,0.08898,10.18437,10.49193,10.82,11.40066,12.0976,12.85489,13.5937,14.06419,14.54617
2,89,-0.3833,12.2229,0.089,10.28947,10.60026,10.9318,11.51859,12.2229,12.98821,13.73487,14.21035,14.69746
2,89.5,-0.3833,12.3477,0.08903,10.39394,10.708,11.04301,11.63596,12.3477,13.1211,13.87566,14.3562,14.84848
2,90,-0.3833,12.4723,0.08906,10.49824,10.81555,11.15403,11.75315,12.4723,13.25378,14.01625,14.50182,14.99928
2,90.5,-0.3833,12.5965,0.08909,10.60218,10.92274,11.26469,11.86995,12.5965,13.38604,14.15639,14.647,15.14962
2,91,-0.3833,12.7205,0.08913,10.70575,11.02957,11.37502,11.98649,12.7205,13.51818,14.29651,14.79221,15.30007
2,91.5,-0.3833,12.8443,0.08918,10.80893,11.13605,11.48502,12.10274,12.8443,13.65022,14.43662,14.93748,15.45063
2,92,-0.3833,12.9681,0.08923,10.91209,11.24251,11.59501,12.21899,12.9681,13.78226,14.57674,15.08277,15.60123
2,92.5,-0.3833,13.092,0.08928,11.01532,11.34904,11.70507,12.33533,13.092,13.91442,14.717,15.2282,15.75198
2,93,-0.3833,13.2158,0.08934,11.11823,11.45529,11.81489,12.45148,13.2158,14.04658,14.85736,15.37381,15.90298
2,93.5,-0.3833,13.3399,0.08941,11.22116,11.56159,11.92481,12.56782,13.3399,14.17916,14.99828,15.52006,16.05472
2,94,-0.3833,13.4643,0.08948,11.32432,11.66814,12.03498,12.68444,13.4643,14.31208,15.13957,15.66671,16.20688
2,94.5,-0.3833,13.5892,0.08955,11.42787,11.77509,12.14557,12.80151,13.5892,14.44555,15.28144,15.81397,16.35968
2,95,-0.3833,13.7146,0.08963,11.5316,11.88227,12.25645,12.91896,13.7146,14.57965,15.42411,15.96212,16.51348
2,95.5,-0.3833,13.8408,0.08972,11.63575,11.98993,12.36787,13.03707,13.8408,14.71473,15.56792,16.11153,16.66866
2,96,-0.3833,13.9676,0.08981,11.74037,12.09808,12.47979,13.15572,13.9676,14.85046,15.71244,16.26169,16.82461
2,96.5,-0.3833,14.0953,0.0899,11.84572,12.20698,12.5925,13.27521,14.0953,14.98716,15.858,16.41294,16.98172
2,97,-0.3833,14.2239,0.09,11.95156,12.31643,12.70583,13.39545,14.2239,15.12494,16.00483,16.56557,17.14033
2,97.5,-0.3833,14.3537,0.0901,12.05836,12.42689,12.8202,13.5168,14.3537,15.26402,16.15305,16.71965,17.30046
2,98,-0.3833,14.4848,0.09021,12.166,12.53825,12.93555,13.63927,14.4848,15.4046,16.30299,16.8756,17.4626
2,98.5,-0.3833,14.6174,0.09033,12.27461,12.65066,13.05204,13.76304,14.6174,15.54691,16.45488,17.03365,17.62701
2,99,-0.3833,14.7519,0.09044,12.38501,12.76488,13.17036,13.88867,14.7519,15.69116,16.60874,17.19368,17.79341
2,99.5,-0.3833,14.8882,0.09057,12.4964,12.88022,13.28993,14.01579,14.8882,15.83756,16.76512,17.35648,17.96283
2,100,-0.3833,15.0267,0.09069,12.60982,12.99761,13.41159,14.14506,15.0267,15.98621,16.9238,17.52161,18.13461
2,100.5,-0.3833,15.1676,0.09083,12.72473,13.11663,13.53502,14.27637,15.1676,16.13767,17.0857,17.69022,18.31016
2,101,-0.3833,15.3108,0.09096,12.84174,13.23779,13.66063,14.40992,15.3108,16.29149,17.25001,17.86129,18.48819
2,101.5,-0.3833,15.4564,0.0911,12.96047,13.36076,13.78817,14.54561,15.4564,16.44801,17.41733,18.03555,18.66963
2,102,-0.3833,15.6046,0.09125,13.08107,13.48572,13.91781,14.68363,15.6046,16.60744,17.58787,18.21325,18.85472
2,102.5,-0.3833,15.7553,0.09139,13.20394,13.613,14.04981,14.82407,15.7553,16.76944,17.76106,18.39363,19.04254
2,103,-0.3833,15.9087,0.09155,13.32851,13.74212,14.18382,14.96682,15.9087,16.93459,17.93784,18.57791,19.23456
2,103.5,-0.3833,16.0645,0.0917,13.45527,13.87346,14.32009,15.11191,16.0645,17.10221,18.11715,18.76476,19.4292
2,104,-0.3833,16.2229,0.09186,13.58388,14.00677,14.45845,15.2593,16.2229,17.27275,18.29972,18.95508,19.62753
2,104.5,-0.3833,16.3837,0.09203,13.71417,14.14187,14.59872,15.40883,16.3837,17.446,18.48533,19.14865,19.82933
2,105,-0.3833,16.547,0.09219,13.84672,14.27927,14.74134,15.56077,16.547,17.62184,18.67358,19.34491,20.03387
2,105.5,-0.3833,16.7129,0.09236,13.98111,14.41863,14.88603,15.71502,16.7129,17.80061,18.86511,19.54466,20.24213
2,106,-0.3833,16.8814,0.09254,14.11732,14.55992,15.03279,15.87158,16.8814,17.98231,19.05991,19.74792,20.45414
2,106.5,-0.3833,17.0527,0.09271,14.25605,14.70378,15.18217,16.03084,17.0527,18.16692,19.25771,19.95423,20.66926
2,107,-0.3833,17.2269,0.09289,14.39684,14.84983,15.33388,16.19268,17.2269,18.35478,19.45914,20.16441,20.8885
2,107.5,-0.3833,17.4039,0.09307,14.53987,14.99821,15.48801,16.35711,17.4039,18.54568,19.66383,20.378,21.1113
2,108,-0.3833,17.5839,0.09326,14.68504,15.14886,15.64456,16.52422,17.5839,18.73995,19.87227,20.5956,21.33837
2,108.5,-0.3833,17.7668,0.09344,14.83281,15.30215,15.8038,16.69412,17.7668,18.93723,20.08383,20.81637,21.56869
2,109,-0.3833,17.9526,0.09363,14.98261,15.45761,15.96535,16.86659,17.9526,19.13778,20.29904,21.04105,21.80317
